id|istat_id|city_name|province_id|province_name|region_id|region_name|population|source_id|wikipedia_url|geoname_url|geo_location
37|001037|Brozolo|001|Torino|001|Piemonte|435|2|||45.116952,8.071929
49|001049|Campiglione-Fenile|001|Torino|001|Piemonte|1284|2|||44.802838,7.324219
52|001052|Canischio|001|Torino|001|Piemonte|274|2|||45.374854,7.596214
69|001069|Cavagnolo|001|Torino|001|Piemonte|2281|2|||45.151753,8.049028
602|004113|Magliano Alfieri|004|Cuneo|001|Piemonte|1674|1|||44.769244,8.070136
604|004115|Mango|004|Cuneo|001|Piemonte|1334|1|||44.686443,8.150239
605|004116|Manta|004|Cuneo|001|Piemonte|3363|1|||44.615835,7.487026
606|004117|Marene|004|Cuneo|001|Piemonte|2703|1|||44.661638,7.732231
607|004118|Margarita|004|Cuneo|001|Piemonte|1297|1|||44.403432,7.684934
610|004121|Martiniana Po|004|Cuneo|001|Piemonte|667|1|||44.627234,7.362823
612|004123|Moiola|004|Cuneo|001|Piemonte|296|1|||44.321127,7.38973
613|004124|Mombarcaro|004|Cuneo|001|Piemonte|320|1|||44.467637,8.088242
614|004125|Mombasiglio|004|Cuneo|001|Piemonte|630|1|||44.366633,7.967941
616|004127|Monasterolo Casotto|004|Cuneo|001|Piemonte|126|1|||44.328232,7.943241
621|004132|Monforte d'Alba|004|Cuneo|001|Piemonte|1917|1|||44.582438,7.969637
623|004134|Montaldo di Mondovì|004|Cuneo|001|Piemonte|587|1|||44.321731,7.86714
626|004137|Montelupo Albese|004|Cuneo|001|Piemonte|459|1|||44.62144,8.048038
678|004189|Rocca de' Baldi|004|Cuneo|001|Piemonte|1616|2|||44.423633,7.761136
88|001088|Coassolo Torinese|001|Torino|001|Piemonte|1470|2|||45.297751,7.460413
122|001122|Inverso Pinasca|001|Torino|001|Piemonte|659|2|||44.94564,7.218414
130|001130|Leinì|001|Torino|001|Piemonte|11946|2|||45.18275,7.714221
139|001139|Luserna San Giovanni|001|Torino|001|Piemonte|7866|2|||44.815437,7.251318
145|001145|Massello|001|Torino|001|Piemonte|74|2|||44.958739,7.056711
664|004175|Priero|004|Cuneo|001|Piemonte|441|1|||44.376035,8.093343
668|004179|Racconigi|004|Cuneo|001|Piemonte|9856|1|||44.76984,7.678927
673|004184|Roascio|004|Cuneo|001|Piemonte|85|1|||44.417135,8.022341
681|004192|Roccavione|004|Cuneo|001|Piemonte|2791|1|||44.314628,7.482432
682|004193|Rocchetta Belbo|004|Cuneo|001|Piemonte|191|1|||44.636042,8.17534
683|004194|Roddi|004|Cuneo|001|Piemonte|1323|1|||44.679641,7.975435
684|004195|Roddino|004|Cuneo|001|Piemonte|363|1|||44.573839,8.019138
685|004196|Rodello|004|Cuneo|001|Piemonte|908|1|||44.62854,8.056838
688|004199|Sale delle Langhe|004|Cuneo|001|Piemonte|490|1|||44.395235,8.080143
690|004201|Saliceto|004|Cuneo|001|Piemonte|1500|1|||44.413336,8.168644
691|004202|Salmour|004|Cuneo|001|Piemonte|704|1|||44.578037,7.791833
695|004206|San Benedetto Belbo|004|Cuneo|001|Piemonte|192|1|||44.490137,8.057841
696|004207|San Damiano Macra|004|Cuneo|001|Piemonte|477|1|||44.48873,7.258424
699|004210|San Michele Mondovì|004|Cuneo|001|Piemonte|2069|1|||44.377033,7.91104
704|004215|Savigliano|004|Cuneo|001|Piemonte|19884|1|||44.644037,7.655929
706|004217|Scarnafigi|004|Cuneo|001|Piemonte|1910|1|||44.678737,7.565927
709|004220|Sinio|004|Cuneo|001|Piemonte|461|1|||44.600339,8.019938
154|001154|Mompantero|001|Torino|001|Piemonte|668|2|||45.147443,7.043007
183|001183|Pecetto Torinese|001|Torino|001|Piemonte|3690|2|||45.020747,7.750224
190|001190|Pinasca|001|Torino|001|Piemonte|2952|2|||44.94264,7.229115
199|001199|Pont-Canavese|001|Torino|001|Piemonte|3778|2|||45.422855,7.596213
201|001201|Pragelato|001|Torino|001|Piemonte|448|2|||45.013639,6.941607
202|001202|Prali|001|Torino|001|Piemonte|312|2|||44.889437,7.051312
204|001204|Pramollo|001|Torino|001|Piemonte|258|2|||44.908139,7.190715
205|001205|Prarostino|001|Torino|001|Piemonte|1224|2|||44.866339,7.267617
746|005007|Baldichieri d'Asti|005|Asti|001|Piemonte|1009|1|||44.905947,8.091634
747|005008|Belveglio|005|Asti|001|Piemonte|320|1|||44.829948,8.32834
749|005010|Bruno|005|Asti|001|Piemonte|375|1|||44.793248,8.440543
753|005014|Calliano|005|Asti|001|Piemonte|1406|1|||45.008551,8.257535
756|005017|Canelli|005|Asti|001|Piemonte|10230|1|||44.721545,8.292441
757|005018|Cantarana|005|Asti|001|Piemonte|839|1|||44.902447,8.027532
758|005019|Capriglio|005|Asti|001|Piemonte|309|1|||45.003549,8.00893
759|005020|Casorzo|005|Asti|001|Piemonte|687|1|||45.022452,8.337037
760|005021|Cassinasco|005|Asti|001|Piemonte|592|1|||44.689144,8.302642
763|005024|Castel Boglione|005|Asti|001|Piemonte|645|1|||44.721946,8.379943
764|005025|Castell'Alfero|005|Asti|001|Piemonte|2691|1|||44.98125,8.210535
765|005026|Castellero|005|Asti|001|Piemonte|291|1|||44.925348,8.073833
766|005027|Castelletto Molina|005|Asti|001|Piemonte|169|1|||44.751247,8.433244
769|005030|Castelnuovo Calcea|005|Asti|001|Piemonte|779|1|||44.788346,8.28504
772|005033|Cellarengo|005|Asti|001|Piemonte|605|1|||44.864345,7.945331
227|001227|Roure|001|Torino|001|Piemonte|966|2|||45.00214,7.131612
234|001234|Salza di Pinerolo|001|Torino|001|Piemonte|78|2|||44.940038,7.052411
245|001245|San Giorio di Susa|001|Torino|001|Piemonte|949|2|||45.128144,7.17821
248|001248|San Maurizio Canavese|001|Torino|001|Piemonte|7259|2|||45.21705,7.630518
252|001252|San Raffaele Cimena|001|Torino|001|Piemonte|2815|2|||45.146651,7.849324
263|001263|Sestriere|001|Torino|001|Piemonte|838|2|||44.958637,6.877507
279|001279|Traves|001|Torino|001|Piemonte|545|2|||45.26795,7.430813
284|001284|Val della Torre|001|Torino|001|Piemonte|3529|2|||45.155147,7.445015
778|005039|Cinaglio|005|Asti|001|Piemonte|459|1|||44.975249,8.100033
779|005040|Cisterna d'Asti|005|Asti|001|Piemonte|1241|1|||44.826144,8.000933
780|005041|Coazzolo|005|Asti|001|Piemonte|300|1|||44.728244,8.145138
